ra.uz,217.195.193.2,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radio.uz,81.95.225.138,True
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
rb.uz,77.221.148.34,False
rbi.uz,94.158.48.2,True
rbk.uz,217.12.82.36,True
rd.uz,83.69.139.168,True
rc.uz,77.221.141.34,False
rcc.uz,91.212.89.100,True
rea.uz,74.208.105.155,False
rdc.uz,62.209.128.113,True
rcc.uz,91.212.89.100,True
rcm.uz,91.109.16.97,False
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
real.uz,62.209.142.206,True
realtor.uz,91.212.89.100,True
realty.uz,91.212.89.70,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
redbull.uz,72.52.10.14,False
red-white.uz,216.21.239.197,False
redpoll.uz,162.243.98.73,False
redneck.uz,195.158.0.162,True
reef.uz,74.220.207.148,False
ref.uz,77.222.57.40,False
referee.uz,62.209.128.102,True
reg.uz,217.160.92.99,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
region.uz,209.62.122.118,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
registry.uz,199.79.62.205,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
reinhart.uz,91.204.236.5,True
rek.uz,46.8.35.129,True
reko.uz,80.80.208.8,True
rele.uz,89.108.77.49,False
rem.uz,104.128.225.135,False
remington.uz,195.3.213.110,False
remond.uz,50.87.144.150,False
renault.uz,160.92.110.170,False
renner.uz,62.209.128.102,True
render.uz,185.26.122.104,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
res.uz,217.29.116.177,True
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
reset.uz,195.158.0.162,True
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
reset.uz,195.158.0.162,True
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
respect.uz,62.209.133.18,True
resource.uz,217.29.116.177,True
research.uz,68.178.254.120,False
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
restart.uz,91.212.89.68,True
research.uz,68.178.254.120,False
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
restart.uz,91.212.89.68,True
resp.uz,217.29.116.176,True
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
restore.uz,77.222.61.141,False
resto.uz,188.120.226.138,False
restore.uz,77.222.61.141,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
resume.uz,217.29.118.22,True
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
reset.uz,195.158.0.162,True
restore.uz,77.222.61.141,False
research.uz,68.178.254.120,False
restore.uz,77.222.61.141,False
research.uz,68.178.254.120,False
resurs.uz,31.170.163.194,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
reset.uz,195.158.0.162,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
resource.uz,217.29.116.177,True
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
resource.uz,217.29.116.177,True
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
resp.uz,217.29.116.176,True
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
restart.uz,91.212.89.68,True
restore.uz,77.222.61.141,False
restart.uz,91.212.89.68,True
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
retro.uz,195.158.30.209,True
retro.uz,195.158.30.209,True
retro.uz,195.158.30.209,True
retro.uz,195.158.30.209,True
reuters.uz,213.206.34.6,True
review.uz,92.53.118.41,False
review.uz,92.53.118.41,False
review.uz,92.53.118.41,False
review.uz,92.53.118.41,False
revolution.uz,46.8.35.129,True
review.uz,92.53.118.41,False
review.uz,92.53.118.41,False
rework.uz,162.243.96.11,False
rewon.uz,93.159.16.154,False
rework.uz,162.243.96.11,False
rework.uz,162.243.96.11,False
rewon.uz,93.159.16.154,False
rework.uz,162.243.96.11,False
rework.uz,162.243.96.11,False
rewon.uz,93.159.16.154,False
rework.uz,162.243.96.11,False
review.uz,92.53.118.41,False
review.uz,92.53.118.41,False
rework.uz,162.243.96.11,False
rezina.uz,81.95.237.17,True
rework.uz,162.243.96.11,False
rewon.uz,93.159.16.154,False
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
realtors.uz,91.188.128.21,True
ref.uz,77.222.57.40,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
reg.uz,217.160.92.99,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
register.uz,72.52.4.119,False
rem.uz,104.128.225.135,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
reporter.uz,69.73.129.60,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
reset.uz,195.158.0.162,True
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
reporter.uz,69.73.129.60,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
reset.uz,195.158.0.162,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resp.uz,217.29.116.176,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
restart.uz,91.212.89.68,True
resource.uz,217.29.116.177,True
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
resource.uz,217.29.116.177,True
restore.uz,77.222.61.141,False
restart.uz,91.212.89.68,True
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
restart.uz,91.212.89.68,True
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
restore.uz,77.222.61.141,False
reset.uz,195.158.0.162,True
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
reset.uz,195.158.0.162,True
research.uz,68.178.254.120,False
research.uz,68.178.254.120,False
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
research.uz,68.178.254.120,False
resource.uz,217.29.116.177,True
resp.uz,217.29.116.176,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
resource.uz,217.29.116.177,True
restore.uz,77.222.61.141,False
resource.uz,217.29.116.177,True
restart.uz,91.212.89.68,True
resource.uz,217.29.116.177,True
restart.uz,91.212.89.68,True
resource.uz,217.29.116.177,True
restart.uz,91.212.89.68,True
research.uz,68.178.254.120,False
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
research.uz,68.178.254.120,False
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
restart.uz,91.212.89.68,True
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
restore.uz,77.222.61.141,False
restart.uz,91.212.89.68,True
restore.uz,77.222.61.141,False
restart.uz,91.212.89.68,True
retro.uz,195.158.30.209,True
retro.uz,195.158.30.209,True
retro.uz,195.158.30.209,True
review.uz,92.53.118.41,False
retro.uz,195.158.30.209,True
review.uz,92.53.118.41,False
review.uz,92.53.118.41,False
review.uz,92.53.118.41,False
review.uz,92.53.118.41,False
review.uz,92.53.118.41,False
review.uz,92.53.118.41,False
rework.uz,162.243.96.11,False
rework.uz,162.243.96.11,False
rewon.uz,93.159.16.154,False
review.uz,92.53.118.41,False
rewon.uz,93.159.16.154,False
rewon.uz,93.159.16.154,False
rework.uz,162.243.96.11,False
rework.uz,162.243.96.11,False
rework.uz,162.243.96.11,False
rewon.uz,93.159.16.154,False
rg.uz,77.221.141.35,False
rework.uz,162.243.96.11,False
rework.uz,162.243.96.11,False
rh.uz,185.26.230.129,False
rework.uz,162.243.96.11,False
rial.uz,62.209.128.113,True
rial.uz,62.209.128.113,True
rieter.uz,91.203.172.2,True
riks.uz,217.29.118.183,True
rimi.uz,91.212.180.198,True
rio.uz,148.251.247.71,False
riso.uz,212.227.31.178,False
rise.uz,83.69.139.168,True
rial.uz,62.209.128.113,True
rial.uz,62.209.128.113,True
rmf.uz,91.212.89.99,True
rl.uz,91.219.194.31,False
road.uz,62.209.128.102,True
rma.uz,80.80.208.8,True
rmi.uz,91.188.128.21,True
rm.uz,78.110.50.148,False
rn.uz,77.221.148.35,False
rmm.uz,217.29.116.177,True
rnr.uz,91.212.89.100,True
robinson.uz,213.239.227.24,False
rock.uz,94.158.63.1,True
roc.uz,46.8.35.129,True
rolex.uz,195.81.143.192,False
roller.uz,82.215.71.202,True
rol.uz,5.9.23.25,False
rolls-royce.uz,165.160.15.20,False
rom.uz,77.222.40.115,False
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
ronaldo.uz,46.8.35.129,True
ronc.uz,217.12.82.36,True
root.uz,83.69.139.168,True
rosa.uz,178.159.250.170,False
rosella.uz,91.212.89.141,True
rose.uz,62.209.142.206,True
rosettastone.uz,165.160.15.20,False
rosy.uz,91.204.236.5,True
rosita.uz,69.73.145.194,False
roto.uz,46.8.35.129,True
rother.uz,50.87.144.150,False
roto.uz,46.8.35.129,True
royal.uz,62.209.128.102,True
roc.uz,46.8.35.129,True
robinson.uz,213.239.227.24,False
rock.uz,94.158.63.1,True
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
rom.uz,77.222.40.115,False
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
roller.uz,82.215.71.202,True
roto.uz,46.8.35.129,True
roto.uz,46.8.35.129,True
rr.uz,82.146.36.62,False
rpb.uz,94.158.48.2,True
rp.uz,78.110.50.148,False
rsu.uz,46.8.35.129,True
rt.uz,77.221.142.254,False
rpc.uz,195.158.27.26,True
rtp.uz,178.159.250.10,False
rtr.uz,50.87.144.150,False
rtt.uz,81.95.237.17,True
rsi.uz,46.8.35.129,True
rss.uz,77.222.61.141,False
rubber.uz,62.209.128.102,True
rubber.uz,62.209.128.102,True
rrs.uz,5.63.152.189,False
rrs.uz,5.63.152.189,False
rtf.uz,77.222.42.156,False
rtg.uz,46.8.35.129,True
rubber.uz,62.209.128.102,True
rtm.uz,195.158.0.162,True
rubber.uz,62.209.128.102,True
rubber.uz,62.209.128.102,True
rubber.uz,62.209.128.102,True
rubicon.uz,46.8.35.129,True
rubin.uz,81.95.237.17,True
rubber.uz,62.209.128.102,True
ruby.uz,178.63.4.166,False
rubber.uz,62.209.128.102,True
rud.uz,80.150.9.99,False
rueda.uz,91.212.89.68,True
rugby.uz,83.69.139.168,True
rugby.uz,83.69.139.168,True
rugby.uz,83.69.139.168,True
rugby.uz,83.69.139.168,True
run.uz,216.239.32.21,False
russ.uz,195.158.0.162,True
ruslan.uz,91.227.16.12,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
rustam.uz,78.110.50.123,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russia.uz,195.158.30.209,True
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
rubber.uz,62.209.128.102,True
rubber.uz,62.209.128.102,True
rubber.uz,62.209.128.102,True
rubber.uz,62.209.128.102,True
rubber.uz,62.209.128.102,True
rubber.uz,62.209.128.102,True
rubber.uz,62.209.128.102,True
rubber.uz,62.209.128.102,True
rugby.uz,83.69.139.168,True
rugby.uz,83.69.139.168,True
rugby.uz,83.69.139.168,True
rugby.uz,83.69.139.168,True
run.uz,216.239.32.21,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
russian.uz,50.87.100.245,False
r\d.uz,83.69.139.168,True
russian.uz,50.87.100.245,False
r\d.uz,83.69.139.168,True
ra.uz,217.195.193.2,False
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
racing.uz,62.209.133.18,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radar.uz,195.158.12.84,True
radiator.uz,5.9.18.110,False
